n;T1;T2;T4;T6;T8;T10;T12;T14;T16;T18;T20;T2(red);T4(red);T6(red);T8(red);T10(red);T12(red);T14(red);T16(red);T18(red);T20(red)
1;0.000000100;0.000047780;0.000051400;0.000069020;0.000079920;0.000106080;0.000098500;0.000104360;0.001111640;0.000138900;0.000132380;0.000036780;0.000050520;0.000063420;0.000093580;0.000079420;0.000091400;0.000104800;0.000123760;0.000109280;0.000119260
2;0.000000080;0.000035720;0.000049800;0.000074520;0.000084720;0.000099780;0.000093600;0.000104360;0.000108740;0.000118940;0.000135200;0.000032480;0.000048920;0.000057640;0.000068600;0.000109980;0.000098880;0.000106120;0.000099640;0.000115480;0.000120320
3;0.000000120;0.000037580;0.000047940;0.000063980;0.000072480;0.000078900;0.000099580;0.000105760;0.000112700;0.000132580;0.000130080;0.000037820;0.000047900;0.000063820;0.000081160;0.000082520;0.000090280;0.000095280;0.000094840;0.000107400;0.000108260
4;0.000000140;0.000034140;0.000048540;0.000065700;0.000072320;0.000082060;0.000087900;0.000093800;0.000128480;0.000155120;0.000125900;0.000032060;0.000053420;0.000065960;0.000071860;0.000082560;0.000099860;0.000103360;0.000102160;0.000100340;0.000117160
5;0.000000100;0.000034060;0.000040060;0.000071460;0.000070500;0.000080400;0.000113180;0.000090720;0.000099580;0.000125180;0.000116900;0.000031560;0.000045160;0.000061460;0.000065600;0.000076320;0.000087160;0.000088780;0.000096480;0.000121160;0.000108640
6;0.000000120;0.000031620;0.000041880;0.000149700;0.000069480;0.000090440;0.000100760;0.000101400;0.000111240;0.000106940;0.000134680;0.000035800;0.000039620;0.000064820;0.000070400;0.000080080;0.000095680;0.000095380;0.000086940;0.000099200;0.000105880
7;0.000000220;0.000033980;0.000042540;0.000094640;0.000070700;0.000079380;0.000108880;0.000098440;0.000111180;0.000117440;0.000121740;0.000035900;0.000047920;0.000062640;0.000070980;0.000076020;0.000085460;0.000090380;0.000104180;0.000105560;0.000114120
8;0.000000160;0.000031640;0.000040660;0.000060180;0.000070160;0.000066900;0.000090400;0.000094600;0.000098040;0.000110280;0.000120260;0.000030680;0.000039880;0.000053140;0.000069500;0.000072460;0.000091120;0.000093320;0.000100680;0.000105760;0.000125200
9;0.000000240;0.000036780;0.000039540;0.000054800;0.000067180;0.000067540;0.000086000;0.000106640;0.000101460;0.000120180;0.000116560;0.000032560;0.000038800;0.000052780;0.000084540;0.000074800;0.000153640;0.000095820;0.000109640;0.000095380;0.000107000
10;0.000000280;0.000033560;0.000043980;0.000057860;0.000068580;0.000073620;0.000087920;0.000097700;0.000103920;0.000100260;0.000121920;0.000032600;0.000039300;0.000051220;0.000072900;0.000071280;0.000084300;0.000092840;0.000098080;0.000103600;0.000130140
11;0.000000280;0.000034040;0.000041900;0.000060600;0.000068740;0.000093360;0.000084180;0.000098340;0.000107260;0.000113160;0.000134040;0.000030880;0.000040680;0.000060380;0.000066180;0.000068540;0.000091060;0.000092400;0.000094280;0.000096080;0.000115740
12;0.000000340;0.000031360;0.000041820;0.000054140;0.000069400;0.000069400;0.000086700;0.000104180;0.000100700;0.000103580;0.000123420;0.000030580;0.000041560;0.000052720;0.000070880;0.000066020;0.000088060;0.000093740;0.000094860;0.000117280;0.000103820
13;0.000000380;0.000034140;0.000037220;0.000056020;0.000075120;0.000075580;0.000083120;0.000096320;0.000094160;0.000110540;0.000116380;0.000032180;0.000037020;0.000053500;0.000063860;0.000068560;0.000085400;0.000098500;0.000090160;0.000099080;0.000125880
14;0.000000340;0.000032440;0.000039280;0.000061340;0.000065260;0.000069540;0.000087860;0.000093400;0.000095340;0.000106780;0.000121360;0.000031000;0.000037000;0.000055280;0.000066640;0.000068900;0.000084180;0.000099920;0.000092820;0.000097860;0.000121620
15;0.000000460;0.000031480;0.000036800;0.000054960;0.000065620;0.000068480;0.000100180;0.000097720;0.000103880;0.000105180;0.000109800;0.000031500;0.000037320;0.000058600;0.000064640;0.000083040;0.000082340;0.000094100;0.000094340;0.000104720;0.000100500
16;0.000000460;0.000031620;0.000038240;0.000054480;0.000063620;0.000068860;0.000083000;0.000090960;0.000099760;0.000104680;0.000120160;0.000030560;0.000038980;0.000056900;0.000065080;0.000068940;0.000088220;0.000093880;0.000097740;0.000106600;0.000117760
17;0.000000500;0.000031360;0.000040340;0.000056660;0.000064660;0.000087420;0.000087380;0.000100500;0.000130420;0.000103640;0.000108520;0.000031520;0.000038120;0.000054680;0.000062800;0.000069800;0.000081180;0.000099980;0.000089860;0.000097180;0.000104860
18;0.000000560;0.000033200;0.000037860;0.000054640;0.000064480;0.000077580;0.000083340;0.000093420;0.000096300;0.000111480;0.000119600;0.000031800;0.000036940;0.000052920;0.000063980;0.000069520;0.000086320;0.000091280;0.000095500;0.000103260;0.000102700
19;0.000000640;0.000038420;0.000043200;0.000061020;0.000064200;0.000071740;0.000086700;0.000108520;0.000094260;0.000108380;0.000117160;0.000034240;0.000039780;0.000056600;0.000071300;0.000071440;0.000084920;0.000086840;0.000085500;0.000109440;0.000104280
20;0.000000660;0.000032140;0.000037820;0.000060680;0.000066220;0.000070720;0.000084660;0.000090880;0.000096320;0.000100260;0.000117220;0.000033120;0.000039720;0.000057880;0.000067980;0.000069240;0.000093400;0.000086680;0.000092900;0.000095600;0.000104480
21;0.000000740;0.000031840;0.000037860;0.000055180;0.000063780;0.000082620;0.000103300;0.000093420;0.000113740;0.000102680;0.000121560;0.000031980;0.000038260;0.000088600;0.000065160;0.000067840;0.000083760;0.000090640;0.000093400;0.000091700;0.000117720
22;0.000000800;0.000033320;0.000037940;0.000055520;0.000065220;0.000072080;0.000080020;0.000097520;0.000102140;0.000111240;0.000113180;0.000033060;0.000036800;0.000053920;0.000064120;0.000068960;0.000082240;0.000094640;0.000092640;0.000103860;0.000108320
23;0.000000840;0.000032760;0.000053600;0.000058840;0.000076960;0.000074820;0.000135140;0.000094040;0.000099880;0.000106980;0.000112500;0.000030980;0.000037180;0.000056540;0.000064240;0.000067740;0.000086200;0.000088720;0.000091480;0.000100000;0.000114700
24;0.000000940;0.000032060;0.000037060;0.000074560;0.000065080;0.000069160;0.000091740;0.000093460;0.000093580;0.000105420;0.000121700;0.000030720;0.000037000;0.000054280;0.000065000;0.000069820;0.000075420;0.000097880;0.000091200;0.000099800;0.000114900
25;0.000001020;0.000032720;0.000037780;0.000068040;0.000062940;0.000068240;0.000085780;0.000093460;0.000102780;0.000106460;0.000117700;0.000030780;0.000037220;0.000053160;0.000064320;0.000074440;0.000085480;0.000092500;0.000094840;0.000099520;0.000111960
26;0.000001060;0.000033440;0.000039120;0.000054840;0.000061080;0.000071880;0.000082560;0.000092180;0.000099780;0.000115300;0.000120220;0.000031160;0.000038280;0.000053340;0.000066880;0.000077820;0.000099140;0.000092140;0.000093220;0.000097240;0.000098540
27;0.000001140;0.000038120;0.000047680;0.000059960;0.000064940;0.000070340;0.000084280;0.000094520;0.000098580;0.000108320;0.000111340;0.000032640;0.000043240;0.000065320;0.000066140;0.000067840;0.000087620;0.000095940;0.000090180;0.000099920;0.000103000
28;0.000001140;0.000033020;0.000042120;0.000053940;0.000067540;0.000073100;0.000081340;0.000097780;0.000106600;0.000114240;0.000111080;0.000031000;0.000037660;0.000055280;0.000066200;0.000068760;0.000081580;0.000092960;0.000092300;0.000099420;0.000107880
29;0.000001340;0.000032360;0.000039400;0.000055520;0.000060360;0.000073820;0.000088540;0.000098180;0.000097980;0.000102500;0.000115640;0.000030960;0.000040260;0.000057720;0.000064740;0.000069520;0.000085080;0.000091380;0.000099940;0.000099900;0.000109200
30;0.000001320;0.000036440;0.000041220;0.000066220;0.000063900;0.000069300;0.000081940;0.000089560;0.000100200;0.000109940;0.000117140;0.000031400;0.000038720;0.000055520;0.000064740;0.000068200;0.000085560;0.000092760;0.000092180;0.000112960;0.000110320
31;0.000001400;0.000034600;0.000039660;0.000059940;0.000064220;0.000075840;0.000082940;0.000090880;0.000093780;0.000115440;0.000119980;0.000033320;0.000037340;0.000053580;0.000064980;0.000071240;0.000091320;0.000109580;0.000097080;0.000098840;0.000102580
32;0.000001520;0.000032440;0.000041600;0.000056020;0.000067860;0.000070740;0.000087420;0.000094700;0.000094940;0.000107540;0.000112060;0.000031080;0.000038580;0.000052940;0.000075860;0.000068160;0.000082060;0.000092240;0.000090920;0.000121240;0.000115520
33;0.000001640;0.000044900;0.000052060;0.000067460;0.000072200;0.000079160;0.000089520;0.000099460;0.000112960;0.000118920;0.000119580;0.000034040;0.000037820;0.000055240;0.000064920;0.000069500;0.000085620;0.000093280;0.000091200;0.000099880;0.000103280
34;0.000001760;0.000033580;0.000038220;0.000054620;0.000064780;0.000090380;0.000101700;0.000092620;0.000101520;0.000104380;0.000114320;0.000031460;0.000037600;0.000054660;0.000065760;0.000072160;0.000087560;0.000100260;0.000098720;0.000108940;0.000119920
35;0.000001800;0.000035120;0.000045160;0.000063140;0.000065620;0.000071380;0.000085220;0.000094000;0.000099960;0.000102840;0.000109740;0.000031640;0.000045680;0.000059300;0.000062900;0.000073600;0.000082720;0.000091740;0.000095080;0.000106660;0.000102180
36;0.000001920;0.000034360;0.000043420;0.000061860;0.000065200;0.000072620;0.000085760;0.000093880;0.000099760;0.000101940;0.000114340;0.000031380;0.000046900;0.000057180;0.000068040;0.000092280;0.000097040;0.000126400;0.000094160;0.000093700;0.000099720
37;0.000001920;0.000036920;0.000049020;0.000059780;0.000067160;0.000085540;0.000090420;0.000082640;0.000101180;0.000103760;0.000119640;0.000031820;0.000047300;0.000072020;0.000064760;0.000070380;0.000087020;0.000094300;0.000092900;0.000099040;0.000101920
38;0.000002080;0.000034580;0.000049220;0.000056700;0.000065620;0.000074440;0.000082380;0.000106040;0.000118840;0.000107360;0.000115140;0.000049800;0.000039140;0.000058280;0.000067580;0.000069060;0.000086380;0.000091340;0.000094340;0.000102540;0.000107320
39;0.000002260;0.000032940;0.000041960;0.000065000;0.000067380;0.000075620;0.000099500;0.000089440;0.000106260;0.000105000;0.000119400;0.000031800;0.000038020;0.000055600;0.000065080;0.000068880;0.000089240;0.000093260;0.000097440;0.000113760;0.000111280
40;0.000002320;0.000035500;0.000041680;0.000057420;0.000065200;0.000069760;0.000089200;0.000100560;0.000100780;0.000107800;0.000112360;0.000031640;0.000038660;0.000054060;0.000064900;0.000069320;0.000088060;0.000100700;0.000096120;0.000098240;0.000099220
41;0.000002340;0.000034580;0.000045180;0.000054940;0.000063340;0.000070680;0.000080540;0.000092600;0.000092460;0.000104980;0.000119800;0.000031860;0.000037560;0.000055040;0.000068820;0.000074860;0.000086600;0.000094900;0.000095220;0.000103920;0.000101280
42;0.000002560;0.000036860;0.000038700;0.000055340;0.000070820;0.000072960;0.000081220;0.000094960;0.000106840;0.000110580;0.000127060;0.000032660;0.000049460;0.000054740;0.000067580;0.000070200;0.000084080;0.000092340;0.000088920;0.000098420;0.000104520
43;0.000002600;0.000033760;0.000039080;0.000054620;0.000066460;0.000069280;0.000084680;0.000094200;0.000106320;0.000110420;0.000111760;0.000031540;0.000037120;0.000055320;0.000064160;0.000067980;0.000085460;0.000091420;0.000095440;0.000092720;0.000104400
44;0.000002720;0.000033200;0.000040340;0.000061080;0.000109680;0.000074940;0.000096500;0.000084900;0.000093920;0.000105240;0.000124600;0.000032360;0.000040540;0.000056660;0.000066200;0.000072060;0.000080060;0.000091400;0.000098500;0.000102860;0.000111120
45;0.000002840;0.000035640;0.000053620;0.000054660;0.000064020;0.000073180;0.000082660;0.000092800;0.000099140;0.000106820;0.000116600;0.000034720;0.000037660;0.000053640;0.000063920;0.000066720;0.000084300;0.000092220;0.000093860;0.000097860;0.000101100
46;0.000002920;0.000039560;0.000045240;0.000053380;0.000066820;0.000076420;0.000087380;0.000095860;0.000097420;0.000101740;0.000122100;0.000032100;0.000037920;0.000053920;0.000066440;0.000074900;0.000083360;0.000107760;0.000094820;0.000101380;0.000099940
47;0.000003220;0.000033500;0.000039840;0.000055060;0.000065000;0.000069300;0.000084280;0.000089400;0.000100280;0.000110900;0.000125520;0.000032600;0.000041100;0.000067060;0.000064760;0.000068280;0.000083320;0.000094280;0.000088760;0.000096380;0.000185780
48;0.000003220;0.000036220;0.000043520;0.000057080;0.000063060;0.000068280;0.000087260;0.000101840;0.000096100;0.000113700;0.000118860;0.000032400;0.000037740;0.000055640;0.000064660;0.000065700;0.000083220;0.000094180;0.000092900;0.000099820;0.000095560
49;0.000003340;0.000034780;0.000043360;0.000061380;0.000067740;0.000089820;0.000087900;0.000111000;0.000112680;0.000108740;0.000119220;0.000032560;0.000038340;0.000064740;0.000069520;0.000073540;0.000084480;0.000084460;0.000111920;0.000189080;0.000134160
50;0.000003560;0.000043920;0.000050780;0.000070900;0.000076480;0.000078400;0.000086800;0.000097580;0.000104560;0.000106380;0.000115900;0.000034000;0.000038300;0.000060220;0.000072660;0.000081740;0.000092360;0.000094120;0.000090240;0.000097580;0.000117120
51;0.000003640;0.000040200;0.000044340;0.000065160;0.000079640;0.000091840;0.000096960;0.000103700;0.000112200;0.000127660;0.000134480;0.000037940;0.000043200;0.000066140;0.000068360;0.000077660;0.000084460;0.000095120;0.000097980;0.000109800;0.000108400
52;0.000003740;0.000034320;0.000045840;0.000055940;0.000062980;0.000072560;0.000091820;0.000108400;0.000117200;0.000104180;0.000119220;0.000033880;0.000038540;0.000062260;0.000066260;0.000069080;0.000084740;0.000096280;0.000093240;0.000096880;0.000101740
53;0.000003920;0.000038840;0.000048080;0.000055000;0.000064000;0.000069740;0.000084620;0.000093340;0.000569620;0.000272540;0.000124060;0.000034320;0.000039380;0.000062920;0.000071440;0.000076020;0.000087420;0.000099200;0.000099240;0.000103080;0.000101700
54;0.000004160;0.000035300;0.000040700;0.000056900;0.000064920;0.000073420;0.000086260;0.000091920;0.000112180;0.000099500;0.000124840;0.000032680;0.000038380;0.000055760;0.000065840;0.000072060;0.000080380;0.000094920;0.000100720;0.000101340;0.000104100
55;0.000004160;0.000034420;0.000040280;0.000056480;0.000071460;0.000072400;0.000100040;0.000095480;0.000101020;0.000101040;0.000119780;0.000032840;0.000038200;0.000053800;0.000065440;0.000069340;0.000083660;0.000093940;0.000099340;0.000101380;0.000115060
56;0.000004380;0.000052280;0.000040020;0.000055060;0.000063880;0.000070920;0.000083840;0.000086880;0.000097820;0.000103800;0.000118320;0.000033020;0.000038900;0.000054060;0.000065440;0.000070860;0.000084700;0.000099360;0.000107840;0.000102600;0.000111020
57;0.000004520;0.000035740;0.000040480;0.000055900;0.000066320;0.000069000;0.000086120;0.000091540;0.000097500;0.000104640;0.000118600;0.000032860;0.000038000;0.000054380;0.000072540;0.000082460;0.000098900;0.000096220;0.000090240;0.000097760;0.000102700
58;0.000004680;0.000034380;0.000040580;0.000057480;0.000064360;0.000068460;0.000084520;0.000094840;0.000103400;0.000106420;0.000124200;0.000033460;0.000038520;0.000057340;0.000065200;0.000067460;0.000092600;0.000092280;0.000095080;0.000098860;0.000101440
59;0.000004800;0.000033980;0.000045300;0.000058540;0.000065120;0.000071340;0.000086480;0.000103880;0.000102720;0.000117020;0.000113980;0.000033300;0.000041620;0.000058000;0.000066180;0.000068700;0.000084320;0.000097720;0.000091360;0.000101760;0.000110120
